neighborhood,reported crimes,rank
Waterfront Communities-The Island,1555,1
Church-Yonge Corridor,1466,2
West Humber-Clairville,938,3
Moss Park,936,4
Bay Street Corridor,803,5
Downsview-Roding-CFB,761,6
York University Heights,699,7
Annex,613,8
Kensington-Chinatown,578,9
Woburn,567,10
Islington-City Centre West,563,11
NSA,549,12
West Hill,520,13
Mimico,512,14
Glenfield-Jane Heights,488,15
Dovercourt-Wallace Emerson-Junction,479,16
South Riverdale,463,17
Wexford/Maryvale,422,18
Niagara,421,19
Willowdale East,415,20
Mount Pleasant West,372,21
South Parkdale,369,22
Bendale,369,22
Malvern,367,23
Yorkdale-Glen Park,363,24
Newtonbrook West,361,25
Mount Olive-Silverstone-Jamestown,357,26
North St.James Town,355,27
Clairlea-Birchmount,354,28
Rouge,351,29
Humber Summit,332,30
Weston,332,30
East End-Danforth,331,31
Black Creek,329,32
Rosedale-Moore Park,317,33
Kennedy Park,282,34
LAmoreaux,269,35
Oakridge,264,36
Agincourt South-Malvern West,264,36
Parkwoods-Donalda,261,37
Milliken,260,38
Eglinton East,253,39
Dorset Park,246,40
Regent Park,245,41
Rockcliffe-Smythe,242,42
Humbermede,240,43
Birchcliffe-Cliffside,228,44
Clanton Park,228,44
Trinity-Bellwoods,221,45
Kingsview Village-The Westway,217,46
Brookhaven-Amesbury,216,47
Don Valley Village,216,47
Cabbagetown-South St.James Town,214,48
OConnor-Parkview,214,48
Tam OShanter-Sullivan,209,49
Roncesvalles,207,50
Stonegate-Queensway,203,51
Junction Area,198,52
Westminster-Branson,194,53
Lansing-Westgate,191,54
Bedford Park-Nortown,191,54
Scarborough Village,190,55
Danforth,190,55
Oakwood Village,184,56
The Beaches,184,56
Thorncliffe Park,182,57
Leaside-Bennington,181,58
Greenwood-Coxwell,180,59
Victoria Village,179,60
Corso Italia-Davenport,178,61
Flemingdon Park,178,61
Cliffcrest,175,62
High Park North,175,62
Taylor-Massey,174,63
Newtonbrook East,170,64
Willowdale West,169,65
Little Portugal,169,65
New Toronto,168,66
Henry Farm,166,67
Englemount-Lawrence,163,68
Briar Hill-Belgravia,159,69
University,157,70
St.Andrew-Windfields,157,70
Long Branch,156,71
Banbury-Don Mills,155,72
Bayview Village,154,73
Mount Dennis,153,74
High Park-Swansea,147,75
Willowridge-Martingrove-Richview,146,76
Pelmo Park-Humberlea,142,77
Elms-Old Rexdale,139,78
Dufferin Grove,138,79
Weston-Pellam Park,138,79
Morningside,137,80
Agincourt North,137,80
Lawrence Park South,133,81
Yonge-Eglinton,132,82
Rexdale-Kipling,132,82
Woodbine Corridor,131,83
Keelesdale-Eglinton West,129,84
Eringate-Centennial-West Deane,128,85
Mount Pleasant East,128,85
Ionview,126,86
Playter Estates-Danforth,125,87
Bathurst Manor,124,88
Palmerston-Little Italy,122,89
Thistletown-Beaumond Heights,121,90
Steeles,120,91
Forest Hill South,117,92
Hillcrest Village,114,93
Lawrence Park North,113,94
Wychwood,111,95
Danforth East York,108,96
Bridle Path-Sunnybrook-York Mills,107,97
Yonge-St.Clair,107,97
Casa Loma,106,98
Humewood-Cedarvale,105,99
North Riverdale,102,100
Rustic,101,101
Beechborough-Greenbrook,100,102
Kingsway South,94,103
Broadview North,94,103
Blake-Jones,93,104
Forest Hill North,90,105
Caledonia-Fairbank,88,106
Edenbridge-Humber Valley,81,107
Alderwood,81,107
Etobicoke West Mall,80,108
Old East York,78,109
Highland Creek,77,110
Runnymede-Bloor West Village,76,111
Humber Heights-Westmount,74,112
Pleasant View,71,113
Centennial Scarborough,71,113
Bayview Woods-Steeles,70,114
Markland Wood,63,115
Princess-Rosethorn,63,115
Guildwood,60,116
Maple Leaf,59,117
Lambton Baby Point,52,118
Woodbine-Lumsden,51,119
